sql_text,timestamp,query_length,num_joins,num_where,has_order_by,has_group_by,has_having,has_limit,num_subqueries,num_predicates,num_aggregates,has_like,has_in,access_type,key_used,rows_examined,using_filesort,using_temporary,using_index,explain_text,execution_time,buffer_pool_hit_ratio,connections_count,hour_of_day,day_of_week,is_peak_hour,is_slow,query_type,expected_speed
SELECT * FROM products WHERE id = 8336,2026-02-07T14:18:40.058419,38,0,1,0,0,0,0,0,1,0,0,0,ALL,,273511,0,0,0,"[{""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""products"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 273511, ""filtered"": 10.0, ""Extra"": ""Using where""}]",0.3301,1.0,2,14,5,1,0,simple_pk,fast
"SELECT c.firstname, c.lastname,
                        (SELECT COUNT(*) FROM orders o WHERE o.client_id = c.id) as order_count
                    FROM clients c
                    WHERE (SELECT COUNT(*) FROM orders o WHERE o.client_id = c.id) > 5
                    LIMIT 100",2026-02-07T14:18:40.407329,317,0,3,0,0,0,1,2,6,2,0,0,ALL,,31053,0,0,0,"[{""id"": 1, ""select_type"": ""PRIMARY"", ""table"": ""c"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 31051, ""filtered"": 100.0, ""Extra"": ""Using where""}, {""id"": 3, ""select_type"": ""DEPENDENT SUBQUERY"", ""table"": ""o"", ""partitions"": null, ""type"": ""ref"", ""possible_keys"": ""idx_orders_1770229108046,idx_orders_1770229108669"", ""key"": ""idx_orders_1770229108046"", ""key_len"": ""4"", ""ref"": ""pos.c.id"", ""rows"": 1, ""filtered"": 100.0, ""Extra"": ""Using index""}, {""id"": 2, ""select_type"": ""DEPENDENT SUBQUERY"", ""table"": ""o"", ""partitions"": null, ""type"": ""ref"", ""possible_keys"": ""idx_orders_1770229108046,idx_orders_1770229108669"", ""key"": ""idx_orders_1770229108046"", ""key_len"": ""4"", ""ref"": ""pos.c.id"", ""rows"": 1, ""filtered"": 100.0, ""Extra"": ""Using index""}]",0.0101,1.0,2,14,5,1,0,subquery_correlated,slow
"SELECT c.firstname, o.orderdate, p.name, p.price
                    FROM clients c
                    JOIN orders o ON c.id = o.client_id
                    JOIN cart ca ON o.cart_id = ca.id
                    JOIN products p ON ca.product_id = p.id
                    WHERE o.orderdate > '2024-01-01'
                    LIMIT 100",2026-02-07T14:18:40.437429,374,3,1,0,0,0,1,0,4,0,0,0,ALL,,304619,0,0,0,"[{""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""o"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": ""idx_orders_1770229108046,idx_orders_1770229108669"", ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 31106, ""filtered"": 33.33, ""Extra"": ""Using where""}, {""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""c"", ""partitions"": null, ""type"": ""eq_ref"", ""possible_keys"": ""PRIMARY,idx_client_id"", ""key"": ""PRIMARY"", ""key_len"": ""4"", ""ref"": ""pos.o.client_id"", ""rows"": 1, ""filtered"": 100.0, ""Extra"": null}, {""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""ca"", ""partitions"": null, ""type"": ""eq_ref"", ""possible_keys"": ""PRIMARY,fk_cart_product"", ""key"": ""PRIMARY"", ""key_len"": ""4"", ""ref"": ""pos.o.cart_id"", ""rows"": 1, ""filtered"": 100.0, ""Extra"": ""Using where""}, {""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""p"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 273511, ""filtered"": 10.0, ""Extra"": ""Using where; Using join buffer (hash join)""}]",0.1062,1.0,2,14,5,1,0,join_3_tables,slow
"SELECT category, COUNT(*) as count, AVG(price) as avg_price FROM products GROUP BY category",2026-02-07T14:18:40.562376,91,0,0,0,1,0,0,0,2,2,0,0,ALL,,273511,0,1,0,"[{""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""products"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 273511, ""filtered"": 100.0, ""Extra"": ""Using temporary""}]",0.4602,1.0,2,14,5,1,0,aggregate_simple,medium
"SELECT c.firstname, c.lastname,
                        (SELECT COUNT(*) FROM orders o WHERE o.client_id = c.id) as order_count
                    FROM clients c
                    WHERE (SELECT COUNT(*) FROM orders o WHERE o.client_id = c.id) > 5
                    LIMIT 100",2026-02-07T14:18:41.040609,317,0,3,0,0,0,1,2,6,2,0,0,ALL,,31053,0,0,0,"[{""id"": 1, ""select_type"": ""PRIMARY"", ""table"": ""c"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 31051, ""filtered"": 100.0, ""Extra"": ""Using where""}, {""id"": 3, ""select_type"": ""DEPENDENT SUBQUERY"", ""table"": ""o"", ""partitions"": null, ""type"": ""ref"", ""possible_keys"": ""idx_orders_1770229108046,idx_orders_1770229108669"", ""key"": ""idx_orders_1770229108046"", ""key_len"": ""4"", ""ref"": ""pos.c.id"", ""rows"": 1, ""filtered"": 100.0, ""Extra"": ""Using index""}, {""id"": 2, ""select_type"": ""DEPENDENT SUBQUERY"", ""table"": ""o"", ""partitions"": null, ""type"": ""ref"", ""possible_keys"": ""idx_orders_1770229108046,idx_orders_1770229108669"", ""key"": ""idx_orders_1770229108046"", ""key_len"": ""4"", ""ref"": ""pos.c.id"", ""rows"": 1, ""filtered"": 100.0, ""Extra"": ""Using index""}]",0.0109,1.0,2,14,5,1,0,subquery_correlated,slow
"SELECT * FROM products
                    WHERE id IN (
                        SELECT product_id FROM cart
                        WHERE client_id = 45902
                    )",2026-02-07T14:18:41.072138,216,0,2,0,0,0,0,0,2,0,0,1,ALL,,273512,0,0,0,"[{""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""<subquery2>"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": null, ""filtered"": 100.0, ""Extra"": null}, {""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""products"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 273511, ""filtered"": 10.0, ""Extra"": ""Using where; Using join buffer (hash join)""}, {""id"": 2, ""select_type"": ""MATERIALIZED"", ""table"": ""cart"", ""partitions"": null, ""type"": ""ref"", ""possible_keys"": ""fk_cart_client,fk_cart_product"", ""key"": ""fk_cart_client"", ""key_len"": ""4"", ""ref"": ""const"", ""rows"": 1, ""filtered"": 100.0, ""Extra"": null}]",0.0033,1.0,2,14,5,1,0,subquery_in,slow
SELECT * FROM orders WHERE YEAR(orderdate) = 2024,2026-02-07T14:18:41.094370,49,0,1,0,0,0,0,0,3,0,0,0,ALL,,31106,0,0,0,"[{""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""orders"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 31106, ""filtered"": 100.0, ""Extra"": ""Using where""}]",0.0458,1.0,2,14,5,1,0,function_on_index,slow
"SELECT c.firstname, o.orderdate, p.name, p.price
                    FROM clients c
                    JOIN orders o ON c.id = o.client_id
                    JOIN cart ca ON o.cart_id = ca.id
                    JOIN products p ON ca.product_id = p.id
                    WHERE o.orderdate > '2024-01-01'
                    LIMIT 100",2026-02-07T14:18:41.157764,374,3,1,0,0,0,1,0,4,0,0,0,ALL,,304619,0,0,0,"[{""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""o"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": ""idx_orders_1770229108046,idx_orders_1770229108669"", ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 31106, ""filtered"": 33.33, ""Extra"": ""Using where""}, {""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""c"", ""partitions"": null, ""type"": ""eq_ref"", ""possible_keys"": ""PRIMARY,idx_client_id"", ""key"": ""PRIMARY"", ""key_len"": ""4"", ""ref"": ""pos.o.client_id"", ""rows"": 1, ""filtered"": 100.0, ""Extra"": null}, {""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""ca"", ""partitions"": null, ""type"": ""eq_ref"", ""possible_keys"": ""PRIMARY,fk_cart_product"", ""key"": ""PRIMARY"", ""key_len"": ""4"", ""ref"": ""pos.o.cart_id"", ""rows"": 1, ""filtered"": 100.0, ""Extra"": ""Using where""}, {""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""p"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 273511, ""filtered"": 10.0, ""Extra"": ""Using where; Using join buffer (hash join)""}]",0.1104,1.0,2,14,5,1,0,join_3_tables,slow
"SELECT c.firstname, o.orderdate, p.name, p.price
                    FROM clients c
                    JOIN orders o ON c.id = o.client_id
                    JOIN cart ca ON o.cart_id = ca.id
                    JOIN products p ON ca.product_id = p.id
                    WHERE o.orderdate > '2024-01-01'
                    LIMIT 100",2026-02-07T14:18:41.287509,374,3,1,0,0,0,1,0,4,0,0,0,ALL,,304619,0,0,0,"[{""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""o"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": ""idx_orders_1770229108046,idx_orders_1770229108669"", ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 31106, ""filtered"": 33.33, ""Extra"": ""Using where""}, {""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""c"", ""partitions"": null, ""type"": ""eq_ref"", ""possible_keys"": ""PRIMARY,idx_client_id"", ""key"": ""PRIMARY"", ""key_len"": ""4"", ""ref"": ""pos.o.client_id"", ""rows"": 1, ""filtered"": 100.0, ""Extra"": null}, {""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""ca"", ""partitions"": null, ""type"": ""eq_ref"", ""possible_keys"": ""PRIMARY,fk_cart_product"", ""key"": ""PRIMARY"", ""key_len"": ""4"", ""ref"": ""pos.o.cart_id"", ""rows"": 1, ""filtered"": 100.0, ""Extra"": ""Using where""}, {""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""p"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 273511, ""filtered"": 10.0, ""Extra"": ""Using where; Using join buffer (hash join)""}]",0.1366,1.0,2,14,5,1,0,join_3_tables,slow
"SELECT * FROM products
                    WHERE id IN (
                        SELECT product_id FROM cart
                        WHERE client_id = 40338
                    )",2026-02-07T14:18:41.443326,216,0,2,0,0,0,0,0,2,0,0,1,ALL,,273512,0,0,0,"[{""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""<subquery2>"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": null, ""filtered"": 100.0, ""Extra"": null}, {""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""products"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 273511, ""filtered"": 10.0, ""Extra"": ""Using where; Using join buffer (hash join)""}, {""id"": 2, ""select_type"": ""MATERIALIZED"", ""table"": ""cart"", ""partitions"": null, ""type"": ""ref"", ""possible_keys"": ""fk_cart_client,fk_cart_product"", ""key"": ""fk_cart_client"", ""key_len"": ""4"", ""ref"": ""const"", ""rows"": 1, ""filtered"": 100.0, ""Extra"": null}]",0.0026,1.0,2,14,5,1,0,subquery_in,slow
"SELECT c.firstname, o.orderdate, p.name, p.price
                    FROM clients c
                    JOIN orders o ON c.id = o.client_id
                    JOIN cart ca ON o.cart_id = ca.id
                    JOIN products p ON ca.product_id = p.id
                    WHERE o.orderdate > '2024-01-01'
                    LIMIT 100",2026-02-07T14:18:41.967858,374,3,1,0,0,0,1,0,4,0,0,0,ALL,,304619,0,0,0,"[{""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""o"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": ""idx_orders_1770229108046,idx_orders_1770229108669"", ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 31106, ""filtered"": 33.33, ""Extra"": ""Using where""}, {""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""c"", ""partitions"": null, ""type"": ""eq_ref"", ""possible_keys"": ""PRIMARY,idx_client_id"", ""key"": ""PRIMARY"", ""key_len"": ""4"", ""ref"": ""pos.o.client_id"", ""rows"": 1, ""filtered"": 100.0, ""Extra"": null}, {""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""ca"", ""partitions"": null, ""type"": ""eq_ref"", ""possible_keys"": ""PRIMARY,fk_cart_product"", ""key"": ""PRIMARY"", ""key_len"": ""4"", ""ref"": ""pos.o.cart_id"", ""rows"": 1, ""filtered"": 100.0, ""Extra"": ""Using where""}, {""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""p"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 273511, ""filtered"": 10.0, ""Extra"": ""Using where; Using join buffer (hash join)""}]",0.1097,1.0,2,14,5,1,0,join_3_tables,slow
"SELECT * FROM products
                    WHERE id IN (
                        SELECT product_id FROM cart
                        WHERE client_id = 46774
                    )",2026-02-07T14:18:42.095848,216,0,2,0,0,0,0,0,2,0,0,1,ALL,,273512,0,0,0,"[{""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""<subquery2>"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": null, ""filtered"": 100.0, ""Extra"": null}, {""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""products"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 273511, ""filtered"": 10.0, ""Extra"": ""Using where; Using join buffer (hash join)""}, {""id"": 2, ""select_type"": ""MATERIALIZED"", ""table"": ""cart"", ""partitions"": null, ""type"": ""ref"", ""possible_keys"": ""fk_cart_client,fk_cart_product"", ""key"": ""fk_cart_client"", ""key_len"": ""4"", ""ref"": ""const"", ""rows"": 1, ""filtered"": 100.0, ""Extra"": null}]",0.0023,1.0,2,14,5,1,0,subquery_in,slow
SELECT * FROM orders WHERE YEAR(orderdate) = 2024,2026-02-07T14:18:42.116178,49,0,1,0,0,0,0,0,3,0,0,0,ALL,,31106,0,0,0,"[{""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""orders"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 31106, ""filtered"": 100.0, ""Extra"": ""Using where""}]",0.0508,1.0,2,14,5,1,0,function_on_index,slow
"SELECT * FROM products
                    WHERE id IN (
                        SELECT product_id FROM cart
                        WHERE client_id = 17714
                    )",2026-02-07T14:18:42.185210,216,0,2,0,0,0,0,0,2,0,0,1,ALL,,273512,0,0,0,"[{""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""<subquery2>"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": null, ""filtered"": 100.0, ""Extra"": null}, {""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""products"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 273511, ""filtered"": 10.0, ""Extra"": ""Using where; Using join buffer (hash join)""}, {""id"": 2, ""select_type"": ""MATERIALIZED"", ""table"": ""cart"", ""partitions"": null, ""type"": ""ref"", ""possible_keys"": ""fk_cart_client,fk_cart_product"", ""key"": ""fk_cart_client"", ""key_len"": ""4"", ""ref"": ""const"", ""rows"": 1, ""filtered"": 100.0, ""Extra"": null}]",0.0032,1.0,2,14,5,1,0,subquery_in,slow
SELECT * FROM clients LIMIT 7,2026-02-07T14:18:42.206276,29,0,0,0,0,0,1,0,0,0,0,0,ALL,,31051,0,0,0,"[{""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""clients"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 31051, ""filtered"": 100.0, ""Extra"": null}]",0.0027,1.0,2,14,5,1,0,simple_limit,fast
SELECT * FROM clients LIMIT 98,2026-02-07T14:18:42.227659,30,0,0,0,0,0,1,0,0,0,0,0,ALL,,31051,0,0,0,"[{""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""clients"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 31051, ""filtered"": 100.0, ""Extra"": null}]",0.0037,1.0,2,14,5,1,0,simple_limit,fast
"SELECT client_id, COUNT(*) as order_count, SUM(price) as total_spent
                    FROM orders
                    GROUP BY client_id
                    HAVING COUNT(*) > 5
                    ORDER BY total_spent DESC
                    LIMIT 100",2026-02-07T14:18:42.251137,293,0,0,1,1,1,1,0,3,3,0,0,index,idx_orders_1770229108046,31106,1,1,0,"[{""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""orders"", ""partitions"": null, ""type"": ""index"", ""possible_keys"": ""idx_orders_1770229108046,idx_orders_1770229108669"", ""key"": ""idx_orders_1770229108046"", ""key_len"": ""7"", ""ref"": null, ""rows"": 31106, ""filtered"": 100.0, ""Extra"": ""Using temporary; Using filesort""}]",0.0979,1.0,2,14,5,1,0,aggregate_having,slow
"SELECT c.wilaya, COUNT(*) as total_orders, SUM(o.price) as total_revenue
                    FROM clients c
                    JOIN orders o ON c.id = o.client_id
                    WHERE o.status = 'Livrée'
                    GROUP BY c.wilaya",2026-02-07T14:18:42.368616,285,1,1,0,1,0,0,0,3,2,0,0,ALL,,31107,0,1,0,"[{""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""o"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": ""idx_orders_1770229108046,idx_orders_1770229108669"", ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 31106, ""filtered"": 10.0, ""Extra"": ""Using where; Using temporary""}, {""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""c"", ""partitions"": null, ""type"": ""eq_ref"", ""possible_keys"": ""PRIMARY,idx_client_wilaya,idx_client_id,idx_clients_wilaya,idx_clients_wilaya_birthday"", ""key"": ""PRIMARY"", ""key_len"": ""4"", ""ref"": ""pos.o.client_id"", ""rows"": 1, ""filtered"": 100.0, ""Extra"": null}]",0.026,1.0,2,14,5,1,0,join_aggregate,slow
"SELECT 
                        DATE_FORMAT(orderdate, '%Y-%m') as month,
                        status,
                        COUNT(*) as order_count,
                        AVG(price) as avg_price,
                        MIN(price) as min_price,
                        MAX(price) as max_price
                    FROM orders
                    WHERE orderdate >= '2024-01-01'
                    GROUP BY DATE_FORMAT(orderdate, '%Y-%m'), status
                    ORDER BY month DESC, order_count DESC",2026-02-07T14:18:42.413310,549,0,1,1,1,0,0,0,10,4,0,0,ALL,,31106,1,1,0,"[{""id"": 1, ""select_type"": ""SIMPLE"", ""table"": ""orders"", ""partitions"": null, ""type"": ""ALL"", ""possible_keys"": null, ""key"": null, ""key_len"": null, ""ref"": null, ""rows"": 31106, ""filtered"": 33.33, ""Extra"": ""Using where; Using temporary; Using filesort""}]",0.0829,1.0,2,14,5,1,0,aggregate_complex,slow
